Student_ID,Name,Course,Math,Science,English,Attendance
101,Aman,CS,85,78,90,95
102,Riya,IT,72,80,75,89
103,Rohan,CS,91,88,84,98
104,Priya,EE,65,70,68,85
105,Arjun,ME,88,76,81,93
106,Sneha,CS,95,92,94,99
107,Rahul,IT,55,60,58,80
108,Kavya,EE,78,82,79,91
109,Vikas,ME,69,74,71,87
110,Neha,CS,84,89,90,96
111,Aditya,IT,77,73,80,88
112,Pooja,EE,81,79,83,92
113,Karan,ME,59,65,62,78
114,Anjali,CS,93,95,91,100
115,Mohit,IT,74,69,72,84
116,Simran,EE,86,90,88,97
117,Nikhil,ME,67,71,69,86
118,Isha,CS,89,87,92,98
119,Deepak,IT,62,66,64,82
120,Muskan,EE,90,91,89,99
