Emp_ID,Name,Department,Salary,Experience
101,Aman,HR,35000,2
102,Riya,IT,55000,4
103,Rohan,Finance,48000,3
104,Priya,HR,40000,5
105,Arjun,IT,62000,6
106,Sneha,Marketing,45000,3
107,Rahul,Finance,52000,4
108,Kavya,IT,70000,7
109,Vikas,HR,38000,2
110,Neha,Marketing,47000,3
111,Aditya,IT,58000,5
112,Pooja,Finance,51000,4
113,Karan,HR,36000,2
114,Anjali,IT,75000,8
115,Mohit,Marketing,44000,3
116,Simran,Finance,56000,5
117,Nikhil,HR,39000,2
118,Isha,IT,68000,6
119,Deepak,Marketing,46000,4
120,Muskan,Finance,53000,5
